53.7352,30.2625,BY,Dashkawka
53.7059,28.4313,BY,Chervyen’
52.21948,23.74043,BY,Charnawchytsy
53.5689,31.3831,BY,Cherykaw
52.9164,30.9179,BY,Chachersk
53.8098,30.9717,BY,Chavusy
54.8584,29.1608,BY,Chashniki
53.521,30.2454,BY,Bykhaw
52.5314,24.9786,BY,Byaroza
53.8536,30.2671,BY,Buynichy
52.7179,30.5701,BY,Buda-Kashalyova
52.09755,23.68775,BY,Brest
55.6413,27.0418,BY,Braslaw
51.787,30.2677,BY,Brahin
54.3785,26.6581,BY,Turets-Bayary
54.3171,26.1376,BY,Baruny
53.851,27.7139,BY,Vyaliki Trastsyanets
53.196,24.0166,BY,Vyalikaya Byerastavitsa
54.342,29.2736,BY,Bobr
53.5269,28.1732,BY,Blon’
53.72143,25.49927,BY,Berëzovka
53.8391,28.9879,BY,Byerazino
53.9994,29.7141,BY,Byalynichy
52.4731,25.1784,BY,Byelaazyorsk
54.7316,28.0577,BY,Byahoml’
54.2279,28.505,BY,Horad Barysaw
53.1327,26.0139,BY,Baranovichi
54.4784,30.3159,BY,Baran’
53.1384,29.2214,BY,Babruysk
54.421,25.936,BY,Ashmyany
52.2038,24.7863,BY,Antopal’
54.4207,30.2909,BY,Balbasava
53.8653,30.5597,BY,Ramanavichy
53.9854,30.36,BY,Palykavichy Pyershyya
52.21611,24.36639,BY,Horad Kobryn
52.25028,26.79944,BY,Horad Luninyets
52.12139,26.07278,BY,Horad Pinsk
54.51528,30.40528,BY,Horad Orsha
52.36389,30.39472,BY,Horad Rechytsa
53.69889,31.71417,BY,Horad Krychaw
53.74998,27.33338,BY,Fanipol
53.9094,27.3069,BY,Khatsyezhyna
53.8211,27.4522,BY,Schomyslitsa
53.8191,27.5215,BY,Yubilyeyny
53.7817,27.4346,BY,Atolina
53.7969,27.7967,BY,Pryvol’ny
53.5871,27.0535,BY,Enyerhyetykaw
53.6404,27.9199,BY,Svislach
53.6238,27.8977,BY,Druzhny
53.8579,27.4374,BY,Malinovka
52.3973,31.071,BY,Peramoga
54.0022,27.6754,BY,Borovlyany
54.2698,27.1067,BY,Chyst’
54.0024,27.7108,BY,Lyeskawka
54.0072,27.6963,BY,Lyasny
54.0036,27.5669,BY,Bal’shavik
54.07598,28.00698,BY,Usiazh
54.04059,28.19813,BY,Октябрьский
53.73937,27.69276,BY,Michanovichi
53.7766,30.3497,BY,Posëlok Voskhod
50.43172,15.81402,CZ,Dvůr Králové nad Labem
49.93466,14.41769,CZ,Zvole
50.30933,17.09871,CZ,Žulová
49.46603,18.09249,CZ,Zubří
49.7401,15.10606,CZ,Zruč nad Sázavou
48.8555,16.0488,CZ,Znojmo
50.09192,13.16297,CZ,Žlutice
49.19976,17.49037,CZ,Žlutava
50.2875,14.09214,CZ,Zlonice
49.06608,14.36613,CZ,Zliv
49.22645,17.67065,CZ,Zlín
49.07396,17.37938,CZ,Zlechov
49.88958,15.48853,CZ,Žleby
50.2638,17.39602,CZ,Zlaté Hory
50.13192,15.3932,CZ,Žiželice
50.55528,14.15665,CZ,Žitenice
49.25318,15.18824,CZ,Žirovnice
50.04491,13.37502,CZ,Žihle
49.03952,16.61881,CZ,Židlochovice
49.02288,17.23726,CZ,Žeravice
49.52984,15.22181,CZ,Želiv
50.64274,15.25408,CZ,Železný Brod
50.47274,15.38459,CZ,Železnice
49.13743,13.2352,CZ,Železná Ruda
49.14187,15.673,CZ,Želetava
49.11689,16.58137,CZ,Želešice
50.13362,14.6607,CZ,Zeleneč
49.87574,13.89735,CZ,Žebrák
49.22771,17.31899,CZ,Zdounky
49.08456,13.69738,CZ,Zdíkov
49.91207,13.97747,CZ,Zdice
50.16799,14.45118,CZ,Zdiby
49.58726,15.93215,CZ,Žďár nad Sázavou Druhy
49.56263,15.93924,CZ,Žďár nad Sázavou
50.54366,15.08034,CZ,Žďár
49.06729,17.02751,CZ,Ždánice
49.15524,16.34951,CZ,Zbýšov
49.6784,13.22564,CZ,Zbůch
49.81179,15.18319,CZ,Zbraslavice
